month,Inbound_Transaction_Count
2023-11-01,2
2024-02-01,3
2024-03-01,3
2024-04-01,500000
2024-05-01,100000
2024-06-01,400000
2024-07-01,200000
2024-08-01,450000
2024-09-01,32
2024-10-01,23
2024-11-01,48
2024-12-01,1085
2025-01-01,61442
2025-02-01,177958
2025-03-01,194284
2025-04-01,232557
2025-05-01,232366
2025-06-01,268056
2025-07-01,287288
2025-08-01,207726
2025-09-01,217114
2025-10-01,228200
2025-11-01,246978
2025-12-01,266194
2026-01-01,215770
2026-02-01,218084
2026-03-01,237697
2026-04-01,295161
2026-05-01,288609
2026-06-01,133987
